date,network_activity
2022-11-12,22218689.48493868
2022-11-13,7960743.013115443
2022-11-14,28864040.338491656
2022-11-15,57887166.89553296
2022-11-16,7149852.608315758
2022-11-17,125155480.7507156
2022-11-18,70233294.91687034
2022-11-19,1335075.4880468096
2022-11-20,3203721.5813386026
2022-11-21,1570737.312504278
2022-11-22,15207099.40279139
2022-11-23,4246400.030889464
2022-11-24,6864889.332772264
2022-11-25,1563106.42281897
2022-11-26,841989.6510647945
2022-11-27,1068303.9489888558
2022-11-28,2698885.6236325894
2022-11-29,53061990.61418147
2022-11-30,5079007.332406661
2022-12-01,11057197.36193144
2022-12-02,6821374.453214206
2022-12-03,5538394.9747973215
2022-12-04,3171192.5758150835
2022-12-05,11196207.14158023
2022-12-06,8873858.275078118
2022-12-07,14655536.257489022
2022-12-08,8001836.151401943
2022-12-09,4769957.114385078
2022-12-10,6527752.809010191
2022-12-11,1299821.7259084885
2022-12-12,13739805.970676225
2022-12-13,3177893.693993641
2022-12-14,7509379.875404557
2022-12-15,15780463.369596884
2022-12-16,7233082.8053225875
2022-12-17,2617763.537012214
2022-12-18,1784017.0343791572
2022-12-19,825056.2194879898
2022-12-20,2189187.085200459
2022-12-21,3355333.61858699
2022-12-22,13034111.36935938
2022-12-23,3758803.755947273
2022-12-24,1775814.701453403
2022-12-25,1060751.191435656
2022-12-26,688490.5916253394
2022-12-27,24506975.63566518
2022-12-28,16252252.015384082
2022-12-29,11040245.29176138
2022-12-30,12547622.111061096
2022-12-31,12802662.917762958
2023-01-01,383393.4398433042
2023-01-02,1784877.544995103
2023-01-03,6335819.9940026095
2023-01-04,2221465.7279121205
2023-01-05,982520.3344526096
2023-01-06,31641126.30338171
2023-01-07,1290560.0437165275
2023-01-08,967713.3181050336
2023-01-09,3768830.410798827
2023-01-10,587129.3891434358
2023-01-11,4384480.446645053
2023-01-12,3416062.9715460874
2023-01-13,5559773.502327871
2023-01-14,3263978.443314936
2023-01-15,329351.9070420936
2023-01-16,4503255.795978035
2023-01-17,8146370.279398557
2023-01-18,2000656.635227472
2023-01-19,1889084.3743257967
2023-01-20,5416693.642833615
2023-01-21,4512433.363762441
2023-01-22,8962281.605829507
2023-01-23,2661588.7539148163
2023-01-24,2402682.7727078213
2023-01-25,8928666.369875668
2023-01-26,5090793.294189504
2023-01-27,23769372.97893525
2023-01-28,88078973.05197896
2023-01-29,9118302.898085034
2023-01-30,3915045.58933525
2023-01-31,12361098.941934234
2023-02-01,7119929.112593193
2023-02-02,7094470.447148642
2023-02-03,19454259.479860235
2023-02-04,1408802.1421495476
2023-02-05,1814434.0076662428
2023-02-06,4449708.162418744
2023-02-07,15757895.657291964
2023-02-08,36898703.89662667
2023-02-09,6453727.832021265
2023-02-10,7896265.846966846
2023-02-11,2802520.808701218
2023-02-12,11334121.990107289
2023-02-13,4390600.5862821145
2023-02-14,35713747.0225154
2023-02-15,1346449.1365033705
2023-02-16,8706848.07008255
2023-02-17,3276615.0824959865
